68, 103, 131, 139, 143, 151, 156, 165, 212, 239, 240, 242, 247, 261, 271, 301, 371, 416, 439, 481, 483, 
599, 618, 668, 677, 750, 791, 797, 802, 806, 819, 822, 842, 865, 923, 985, 1119, 1193, 1220, 1243, 1320, 
1354, 1454, 1530, 1536, 1556, 1565, 1629, 1657, 1669, 1718, 1740, 1746, 1829, 1849, 1886, 1894, 1935, 1936, 1953, 1967, 
2013, 2036, 2063, 2095, 2127, 2142, 2150, 2162, 2211, 2270, 2280, 2308, 2420, 2437, 2485, 2516, 2620, 2665, 2725, 2757, 
2778, 2787, 2827, 2831, 2868, 2883, 2948, 3038, 3062, 3101, 3158, 3192, 3197, 3255, 3259, 3270, 3286, 3292, 3298, 3345, 
3346, 3355, 3365, 3378, 3410, 3413, 3438, 3470, 3477, 3487, 3499, 3601, 3640, 3683, 3740, 3745, 3749, 3754, 3765, 3770, 
3780, 3800, 3904, 3913, 3919, 3923, 3943, 3946, 3991, 4087, 4124, 4149, 4160, 4161, 4176, 4188, 4216, 4245, 4298, 4302, 
4306, 4342, 4407, 4511, 4613, 4630, 4671, 4672, 4682, 4716, 4737, 4774, 4783, 4869, 4886, 4893, 4910, 4927, 4928, 4983, 
5034, 5034, 5067, 5074, 5121, 5226, 5266, 5283, 5302, 5305, 5349, 5417, 5446, 5489, 5494, 5516, 5553, 5583, 5710, 5758, 
5805, 5849, 5871, 5887, 5919, 5922, 5939, 5960, 5969, 5983, 5986, 5988, 5998, 6026, 6080, 6095, 6137, 6170, 6202, 6203, 
6263, 6354, 6360, 6366, 6376, 6393, 6402, 6588, 6597, 6613, 6636, 6657, 6682, 6696, 6713, 6723, 6735, 6751, 6852, 6858, 
6878, 6976, 6989, 7135, 7140, 7160, 7174, 7186, 7198, 7244, 7248, 7301, 7315, 7337, 7367, 7369, 7380, 7412, 7440, 7468, 
7490, 7542, 7588, 7682, 7697, 7712, 7725, 7755, 7812, 7858, 7868, 7920, 7930, 7942, 7946, 7962, 7967, 7972, 7976, 7990, 
8015, 8016, 8039, 8044, 8057, 8062, 8063, 8074, 8112, 8120, 8148, 8148, 8215, 8309, 8349, 8362, 8434, 8438, 8458, 8543, 
8547, 8580, 8582, 8597, 8602, 8621, 8622, 8682, 8693, 8781, 8781, 8884, 8886, 8996, 9189, 9223, 9233, 9233, 9236, 9256, 
9294, 9329, 9374, 9486, 9492, 9614, 9622, 9647, 9688, 9811, 9849, 9854, 9905, 9914, 9975, 10017, 10121, 10135, 10145, 10244, 
10288, 10306, 10390, 10457, 10509, 10545, 10640, 10664, 10696, 10742, 10758, 10811, 10815, 10868, 10902, 10912, 10930, 10951, 10977, 10994, 
10995, 11007, 11034, 11041, 11066, 11132, 11138, 11150, 11187, 11323, 11357, 11397, 11437, 11453, 11478, 11518, 11571, 11660, 11709, 11717, 
11745, 11751, 11806, 11891, 11934, 11966, 11966, 12017, 12026, 12086, 12093, 12111, 12126, 12134, 12144, 12146, 12168, 12193, 12204, 12246, 
12280, 12292, 12312, 12318, 12318, 12331, 12362, 12372, 12375, 12377, 12425, 12472, 12498, 12527, 12527, 12533, 12570, 12652, 12724, 12731, 
12744, 12748, 12766, 12797, 12885, 12926, 12987, 13012, 13069, 13084, 13092, 13095, 13159, 13180, 13199, 13288, 13334, 13350, 13377, 13414, 
13437, 13485, 13557, 13590, 13639, 13695, 13775, 13869, 13876, 13878, 13892, 13929, 13937, 14095, 14096, 14133, 14141, 14149, 14182, 14215, 
14281, 14282, 14297, 14332, 14340, 14409, 14420, 14422, 14489, 14516, 14521, 14532, 14571, 14654, 14661, 14745, 14896, 14919, 14928, 14930, 
14952, 14984, 15075, 15130, 15203, 15271, 15351, 15352, 15366, 15435, 15436, 15438, 15479, 15484, 15558, 15569, 15588, 15597, 15624, 15630, 
15672, 15680, 15762, 15785, 15786, 15812, 15845, 15867, 15892, 15897, 15907, 15994, 15999, 16017, 16051, 16059, 16062, 16066, 16069, 16109, 
16129, 16165, 16171, 16172, 16203, 16252, 16290, 16307, 16351, 16421, 16464, 16513, 16534, 16592, 16605, 16612, 16620, 16659, 16715, 16749, 
16759, 16864, 16893, 16928, 16930, 16990, 17007, 17026, 17066, 17095, 17148, 17150, 17154, 17176, 17181, 17218, 17236, 17254, 17291, 17297, 
17321, 17321, 17381, 17440, 17577, 17650, 17670, 17672, 17687, 17710, 17712, 17756, 17773, 17871, 17917, 17935, 18020, 18038, 18086, 18088, 
18115, 18258, 18269, 18283, 18311, 18371, 18472, 18495, 18569, 18583, 18592, 18593, 18598, 18629, 18637, 18648, 18649, 18649, 18655, 18674, 
18690, 18699, 18717, 18718, 18727, 18739, 18789, 18832, 18856, 18858, 18873, 18914, 18915, 19034, 19036, 19113, 19124, 19149, 19159, 19169, 
19172, 19253, 19277, 19428, 19476, 19511, 19528, 19560, 19631, 19633, 19671, 19673, 19686, 19703, 19766, 19784, 19797, 19801, 19836, 19863, 
19884, 19904, 19923, 19967, 19975, 20028, 20054, 20121, 20144, 20178, 20183, 20201, 20306, 20323, 20334, 20373, 20386, 20400, 20455, 20516, 
20543, 20546, 20549, 20552, 20572, 20621, 20655, 20673, 20725, 20788, 20883, 20895, 20907, 20943, 21006, 21063, 21087, 21110, 21143, 21158, 
21196, 21196, 21220, 21264, 21386, 21390, 21401, 21406, 21489, 21583, 21611, 21658, 21692, 21697, 21721, 21738, 21820, 21848, 21870, 21878, 
